physact,deg_urb,sex,age,unit,time\geo	EU27_2020 	EU28 	BG 	CZ 	DK 	DE 	EE 	IE 	EL 	ES 	FR 	HR 	IT 	CY 	LV 	LT 	LU 	HU 	MT 	AT 	PL 	PT 	RO 	SI 	SK 	FI 	SE 	IS 	NO 	UK 	TR 
MV_AERO,DEG2,M,Y55-64,PC,2014	31.3 	32.3 	4.5 	21.9 	53.7 	50.5 	31.9 	16.7 	10.7 	27.8 	34.0 	15.7 	19.1 	30.4 	20.7 	16.2 u	43.7 u	21.1 	37.4 	52.4 	14.0 	18.0 	5.6 	44.5 	24.7 	50.8 	46.5 	50.9 	58.7 	40.8 	0 
MV_AERO,DEG2,M,Y65-74,PC,2014	33.2 	34.1 	7.8 	13.0 	51.4 	55.1 	12.3 	24.5 u	15.4 	35.4 	35.7 	14.1 	14.5 	38.2 	20.7 	8.5 u	42.3 u	24.3 	29.9 	61.3 	14.7 	15.2 	3.0 	36.5 	15.3 	56.7 	55.1 	48.1 	48.6 	40.6 	0 
MV_AERO,DEG2,M,Y_GE18,PC,2014	35.6 	36.3 	15.0 	35.7 	51.9 	49.8 	32.1 	37.3 	22.9 	39.8 	32.6 	25.3 	24.0 	30.6 	25.8 	20.9 	44.4 u	33.6 	36.1 	53.7 	20.1 	24.2 	13.6 	49.4 	34.6 	58.6 	51.3 	53.3 	57.6 	42.2 	0 
MV_AERO,DEG2,M,Y_GE65,PC,2014	29.2 	29.6 	5.3 	11.9 	50.3 	49.4 	14.3 	20.9 u	10.8 	29.4 	28.5 	14.6 	12.9 	35.7 	14.3 	12.4 u	36.8 u	18.8 	28.3 	57.8 	12.1 	12.3 	1.9 	30.7 	13.5 	53.8 	47.8 	39.2 	48.1 	31.9 	0 
MV_AERO,DEG2,M,Y_GE75,PC,2014	23.7 	23.3 	0 u	9.9 	47.7 u	42.4 	17.1 u	14.1 u	3.9 	19.6 	18.9 	15.4 u	10.7 	30.4 u	4.3 	: u	27.5 u	10.3 	25.4 	52.7 	7.9 	8.7 	0.3 	21.6 	9.4 	46.1 u	35.5 u	25.3 u	47.2 	20.7 	0 
MV_AERO,DEG2,T,TOTAL,PC,2014	32.3 	32.8 	9.7 	29.6 	53.4 	49.1 	24.3 	31.9 	20.5 	33.5 	27.6 	22.7 	19.8 	26.4 	23.2 	17.0 	39.0 u	31.6 	34.3 	51.9 	18.2 	19.3 	9.3 	42.1 	30.2 	57.2 	54.3 	56.1 	56.5 	37.4 	0 
MV_AERO,DEG2,T,Y15-24,PC,2014	49.6 	49.3 	36.8 	53.5 	67.9 	65.8 	40.7 	48.0 	43.4 	48.3 	39.2 	38.6 	39.6 	31.7 	42.4 	41.5 u	56.9 	55.1 	36.1 	62.0 	37.8 	33.2 	25.4 	60.5 	58.8 	74.7 	66.6 	71.0 	70.3 	44.9 	0 
MV_AERO,DEG2,T,Y18-24,PC,2014	45.4 	44.8 	33.9 	50.0 	64.3 	60.0 	36.0 	44.5 u	45.8 	47.6 	31.3 	35.9 	35.5 	32.8 	39.2 	34.8 u	56.0 	46.4 	38.3 	59.6 	35.1 	28.4 	21.9 	60.9 	57.7 	79.4 	66.0 	67.0 	65.6 	39.1 	0 
MV_AERO,DEG2,T,Y18-29,PC,2014	41.7 	41.5 	28.4 	48.9 	60.1 	55.5 	32.7 	41.4 u	40.5 	44.7 	29.8 	30.8 	31.9 	33.2 	39.8 	30.7 	51.8 	44.2 	38.5 	56.7 	29.1 	30.4 	18.2 	58.7 	47.8 	70.9 	63.7 	68.6 	62.1 	39.1 	0 
MV_AERO,DEG2,T,Y18-44,PC,2014	34.6 	35.2 	15.6 	40.7 	54.4 	47.3 	31.2 	38.8 	29.9 	38.1 	25.5 	29.9 	25.5 	26.5 	33.8 	26.1 	43.3 	39.4 	35.5 	50.1 	23.5 	24.0 	12.8 	50.9 	39.1 	63.9 	56.6 	62.3 	58.5 	39.9 	0 
MV_AERO,DEG2,T,Y18-64,PC,2014	33.1 	33.8 	10.6 	34.1 	53.1 	49.1 	27.5 	32.5 	23.4 	34.9 	27.3 	24.6 	21.5 	26.4 	26.0 	17.5 	40.1 	33.8 	36.2 	51.5 	19.4 	20.9 	9.8 	46.7 	32.5 	59.5 	55.4 	58.3 	58.7 	40.1 	0 
MV_AERO,DEG2,T,Y25-34,PC,2014	34.6 	35.0 	16.0 	45.7 	48.2 	47.4 	29.2 	36.1 	30.4 	39.1 	24.1 	28.0 	26.4 	27.4 	35.0 	20.0 u	41.6 	42.6 	37.1 	48.3 	19.1 	29.4 	11.7 	50.3 	36.3 	59.5 	57.6 	65.1 	53.8 	38.7 	0 
MV_AERO,DEG2,T,Y25-64,PC,2014	31.5 	32.4 	8.2 	32.0 	51.2 	47.5 	26.5 	30.3 	20.3 	33.4 	26.6 	23.2 	20.0 	25.3 	23.8 	14.7 	37.0 	31.9 	35.8 	50.4 	17.6 	19.8 	8.1 	45.0 	28.4 	56.7 	53.7 	56.4 	57.6 	40.2 	0 
MV_AERO,DEG2,T,Y35-44,PC,2014	29.1 	30.4 	9.3 	32.6 	51.7 	39.3 	30.9 	37.6 	21.9 	33.6 	23.2 	28.5 	20.9 	21.4 	28.7 	25.4 	36.1 	33.3 	31.7 	46.6 	22.5 	17.9 	9.0 	47.0 	30.8 	59.4 	49.1 	54.7 	58.2 	41.3 	0 
MV_AERO,DEG2,T,Y45-54,PC,2014	32.2 	33.3 	6.3 	29.1 	51.4 	50.0 	24.2 	24.7 	16.6 	33.4 	26.8 	22.3 	18.0 	24.6 	15.8 	10.0 	31.1 u	30.1 	34.8 	54.4 	16.2 	16.7 	8.4 	45.0 	24.3 	57.4 	53.2 	52.4 	59.8 	42.4 	0 
MV_AERO,DEG2,T,Y45-64,PC,2014	31.4 	32.3 	4.4 	24.6 	51.7 	50.8 	23.4 	22.2 	15.0 	30.5 	29.5 	18.8 	17.3 	26.1 	16.4 	8.6 	34.6 u	26.5 	37.2 	53.2 	14.3 	16.2 	5.9 	41.4 	22.4 	54.3 	54.0 	52.0 	59.0 	40.4 	0 
MV_AERO,DEG2,T,Y55-64,PC,2014	30.4 	31.2 	2.7 	19.8 	52.2 	52.0 	22.5 	18.8 	13.2 	26.5 	32.2 	15.3 	16.4 	28.0 	17.0 	7.0 	39.4 u	23.1 	39.7 	51.5 	12.4 	15.5 	3.5 	37.5 	20.7 	51.6 	54.8 	51.6 	58.0 	37.9 	0 
MV_AERO,DEG2,T,Y65-74,PC,2014	29.2 	29.8 	3.8 	10.1 	55.2 	51.0 	12.1 	21.2 u	9.1 	29.7 	30.4 	12.4 	12.8 	29.0 	12.9 	12.8 	35.8 u	21.3 	31.5 	56.3 	10.1 	11.6 	1.8 	28.5 	13.9 	53.4 	55.3 	46.7 	48.3 	34.6 	0 
MV_AERO,DEG2,T,Y_GE18,PC,2014	31.2 	31.8 	8.6 	28.6 	52.3 	47.9 	23.1 	30.4 	19.7 	32.8 	26.1 	21.9 	18.8 	26.2 	22.4 	15.2 	38.2 u	29.9 	34.5 	51.4 	17.2 	18.3 	8.2 	41.4 	29.0 	57.0 	53.4 	54.6 	55.5 	36.9 	0 
MV_AERO,DEG2,T,Y_GE65,PC,2014	24.2 	24.6 	2.4 	8.7 	49.0 u	44.2 	9.2 	17.3 u	6.3 	22.9 	21.8 	10.5 	10.3 	24.9 	9.9 	8.3 	29.4 u	15.2 	26.1 	50.8 	7.9 	9.1 	1.1 	22.7 	11.3 	48.0 u	46.5 u	38.7 	44.0 	27.1 	0 
MV_AERO,DEG2,T,Y_GE75,PC,2014	18.2 	18.1 	0 	6.5 	37.8 u	36.6 	6.0 	10.6 u	2.5 	13.6 	11.5 	7.6 	7.3 	17.0 	6.2 	4.2 	18.8 u	6.8 	17.7 	43.7 	4.9 	6.6 	0.1 	15.0 	7.0 	35.9 u	33.7 u	26.4 	38.1 	17.7 	0 
MV_AERO,DEG3,F,TOTAL,PC,2014	22.2 	23.2 	2.9 	25.3 	50.2 	41.8 	22.1 	23.5 u	9.2 	24.7 	18.1 	10.5 	10.3 	14.1 	18.6 	15.5 	40.4 	21.1 	34.4 	47.4 	12.8 	11.2 	4.4 	27.8 	20.3 	52.0 	53.4 	62.4 	55.1 	38.4 	0 
MV_AERO,DEG3,F,Y15-24,PC,2014	33.7 	34.7 	10.7 	54.1 	63.1 	51.3 	32.3 	29.9 u	28.2 u	30.6 	28.0 	24.5 	22.7 	14.9 	33.5 	36.2 	45.2 u	34.6 	42.3 u	51.1 	21.6 	25.3 	18.7 	46.0 	48.7 	61.2 	63.4 	82.0 	68.7 	52.2 	0 
MV_AERO,DEG3,F,Y18-24,PC,2014	29.8 	31.3 	8.9 	55.4 	59.5 	48.7 	31.7 	25.0 u	31.0 u	33.0 	17.7 	19.0 	17.1 	10.4 u	26.9 	28.4 	41.0 u	29.2 	: u	50.8 	20.6 	18.5 	14.7 	42.2 	45.9 	53.9 u	64.2 	80.8 u	68.3 	53.4 u	0 
MV_AERO,DEG3,F,Y18-29,PC,2014	27.9 	29.3 	7.3 	47.2 	52.0 	44.5 	24.9 	30.1 	29.0 	30.8 	16.5 	17.3 	19.3 	14.0 	25.5 	22.8 	43.9 	29.8 	36.8 u	48.6 	19.9 	15.9 	10.2 	41.6 	36.3 	56.6 	63.5 	84.1 	63.8 	50.4 	0 
MV_AERO,DEG3,F,Y18-44,PC,2014	24.1 	25.2 	5.5 	35.8 	48.3 	40.5 	23.4 	30.4 	16.8 	29.2 	15.6 	13.4 	14.5 	12.7 	23.4 	19.0 	38.8 	27.4 	37.7 	46.6 	15.0 	13.3 	6.0 	38.1 	28.6 	55.6 	55.6 	73.3 	59.5 	41.5 	0 
MV_AERO,DEG3,F,Y18-64,PC,2014	23.9 	24.9 	3.7 	29.1 	49.6 	42.6 	25.3 	26.8 	12.8 	27.6 	18.1 	11.2 	12.1 	14.4 	21.3 	16.6 	41.2 	24.4 	33.9 	49.5 	14.3 	11.7 	4.6 	31.6 	22.1 	54.3 	54.3 	65.6 	59.0 	40.5 	0 
MV_AERO,DEG3,F,Y25-34,PC,2014	22.9 	23.9 	3.6 	35.2 	35.7 	35.7 	18.4 	35.6 	20.1 	27.2 	14.5 	10.7 	17.1 	15.2 	22.3 	16.1 	41.4 	27.4 	30.0 u	41.2 	14.6 	11.0 	3.0 	43.9 	24.6 	53.5 	57.3 	74.8 	58.6 	39.6 	0 
MV_AERO,DEG3,F,Y25-64,PC,2014	23.1 	24.1 	3.1 	26.0 	48.2 	41.8 	24.3 	27.0 	11.2 	26.9 	18.2 	10.1 	11.5 	15.0 	20.5 	14.7 	41.3 	23.6 	31.6 	49.3 	13.4 	10.9 	3.1 	30.4 	18.6 	54.3 	52.8 	63.5 	57.5 	38.7 	0 
MV_AERO,DEG3,F,Y35-44,PC,2014	22.3 	23.2 	5.1 	28.5 	51.2 	40.3 	22.9 	28.9 	9.8 	29.3 	15.3 	12.5 	11.6 	11.8 	22.4 	14.9 	34.8 	26.2 	40.0 u	48.3 	12.5 	12.8 	3.8 	31.3 	22.5 	58.2 	49.4 	67.2 u	54.5 	36.6 	0 
MV_AERO,DEG3,F,Y45-54,PC,2014	24.0 	25.2 	2.4 	23.9 	51.2 	42.9 	27.7 	24.6 	12.6 	26.8 	19.6 	10.3 	11.1 	18.2 	17.7 	16.9 	44.1 	21.8 	25.0 u	49.1 	12.4 	9.1 	3.9 	24.8 	15.0 	56.7 	53.3 	63.9 	60.8 	41.1 	0 
MV_AERO,DEG3,F,Y45-64,PC,2014	23.6 	24.7 	2.0 	20.5 	51.0 	44.5 	27.5 	21.8 	9.2 	25.4 	21.3 	8.7 	9.5 	16.8 	18.8 	14.1 	44.6 	20.9 	29.0 	52.5 	13.3 	10.0 	2.8 	23.9 	14.0 	53.0 	52.0 	55.4 	58.5 	39.4 	0 
MV_AERO,DEG3,F,Y55-64,PC,2014	23.1 	24.0 	1.7 	17.0 	50.8 	46.4 	27.3 	18.2 u	5.5 	23.7 	23.2 	7.0 	7.4 	15.3 	20.0 	10.8 	45.2 u	20.1 	33.3 u	56.7 	14.2 	10.9 	1.7 	23.0 	13.0 	49.0 	50.4 	43.9 u	56.0 	37.3 	0 
MV_AERO,DEG3,F,Y65-74,PC,2014	19.7 	21.1 	0.5 	13.8 	61.5 u	47.0 	19.0 	8.8 u	1.4 	23.5 	20.6 	8.2 	3.1 	15.0 	10.2 	10.2 	45.2 u	11.7 	48.3 u	45.4 	6.9 	9.5 	0.8 	18.6 	11.9 	44.2 u	57.4 u	53.1 u	52.4 	37.6 	0 
MV_AERO,DEG3,F,Y_GE18,PC,2014	21.3 	22.5 	2.6 	24.5 	49.2 	41.2 	21.6 	22.8 u	8.6 	24.6 	16.7 	9.4 	9.4 	13.5 	17.5 	13.7 	39.8 	20.0 	34.3 	47.3 	12.4 	10.1 	3.4 	26.8 	19.3 	51.1 	52.9 	60.9 	54.4 	38.2 	0 
MV_AERO,DEG3,F,Y_GE65,PC,2014	13.6 	15.0 	0.6 	9.3 	47.6 u	36.4 	12.6 	6.2 u	0.9 	15.8 	12.0 	4.1 	2.4 	9.9 	8.0 	6.0 	33.1 u	6.4 	35.3 u	38.8 	4.9 	6.7 	0.5 	12.3 	9.1 	39.0 u	46.5 u	42.3 	40.5 	32.2 	0 
MV_AERO,DEG3,F,Y_GE75,PC,2014	7.3 	8.6 	0.6 	2.0 	27.9 u	23.7 	6.1 	2.9 u	0.6 	8.2 	4.2 	0.8 	1.6 	1.6 u	5.8 	1.9 	11.2 u	1.0 	: u	31.4 	3.0 	4.3 	0.1 	6.2 	5.7 	30.5 u	26.7 u	28.8 u	25.6 	26.0 	0 
MV_AERO,DEG3,M,TOTAL,PC,2014	30.8 	31.6 	10.8 	31.3 	47.7 	48.3 	24.5 	26.6 	13.3 	35.9 	29.7 	19.1 	20.7 	25.2 	27.2 	24.4 	47.7 u	28.9 	43.7 	51.5 	16.7 	20.0 	17.4 	36.2 	33.1 	46.9 	55.5 	53.9 	54.7 	42.7 	0 
MV_AERO,DEG3,M,Y15-24,PC,2014	52.6 	52.9 	31.9 	65.4 	63.8 	72.3 	37.8 	50.4 u	54.6 u	56.2 	45.8 	46.9 	47.4 	30.1 	58.8 	57.0 	72.8 u	52.8 	: u	67.6 	35.4 	43.7 	41.5 	63.1 	63.4 	67.8 	65.6 	75.4 	69.9 	60.6 u	0 
MV_AERO,DEG3,M,Y18-24,PC,2014	47.3 	47.6 	21.1 	58.7 	52.4 	67.5 	25.5 	45.5 u	45.1 u	51.4 	36.6 	45.1 	45.0 	21.5 	51.8 	47.8 	70.9 	44.4 	: u	64.1 	33.0 	35.2 	35.6 	60.1 	64.8 	67.4 u	64.4 	68.2 u	64.0 	54.5 u	0 
MV_AERO,DEG3,M,Y18-29,PC,2014	44.5 	44.7 	20.6 	46.5 	47.3 	61.9 	29.6 	43.7 	43.4 u	55.1 	36.9 	34.6 	40.6 	23.5 	43.6 	44.8 	67.0 	42.8 	42.1 u	60.5 	31.1 	36.3 	30.2 	52.5 	62.3 	63.1 u	61.9 	67.3 	65.0 	49.5 u	0 
MV_AERO,DEG3,M,Y18-44,PC,2014	35.7 	36.1 	17.6 	41.2 	47.0 	51.0 	28.4 	36.2 	24.7 	43.6 	31.6 	25.7 	29.3 	26.1 	32.9 	33.1 	50.3 	33.1 	41.6 	53.3 	21.1 	29.8 	21.7 	43.3 	46.9 	50.2 	60.6 	60.9 	57.8 	44.3 	0 
MV_AERO,DEG3,M,Y18-64,PC,2014	31.4 	32.1 	12.2 	33.0 	45.7 	47.0 	23.5 	28.6 	16.2 	38.3 	29.5 	19.5 	23.2 	22.9 	26.9 	24.3 	47.0 	29.6 	40.5 	50.3 	16.5 	21.5 	18.4 	38.4 	36.1 	47.6 	55.9 	55.3 	54.8 	42.7 	0 
MV_AERO,DEG3,M,Y25-34,PC,2014	37.4 	37.9 	21.2 	34.1 	44.4 	50.8 	34.4 	43.5 	31.6 	50.7 	34.0 	22.4 	30.0 	25.6 	27.6 	38.5 	47.3 	39.0 	46.2 u	55.0 	21.9 	35.2 	19.7 	44.6 	49.6 	58.3 u	59.9 	61.6 u	55.0 	46.1 	0 
MV_AERO,DEG3,M,Y25-64,PC,2014	29.3 	30.0 	11.2 	29.2 	44.6 	44.3 	23.2 	26.4 	13.7 	36.9 	28.5 	15.7 	20.8 	23.1 	22.9 	20.2 	42.1 	27.1 	40.8 	48.0 	13.7 	19.6 	15.7 	36.1 	31.0 	45.3 	54.7 	52.6 	53.0 	41.7 	0 
MV_AERO,DEG3,M,Y35-44,PC,2014	28.1 	28.7 	11.8 	37.8 	45.3 	40.9 	25.1 	26.9 u	15.3 	35.0 	27.1 	16.4 	22.3 	30.6 	26.4 	18.8 	36.7 u	21.4 	39.3 u	44.4 	12.6 	22.5 	15.9 	34.4 	33.1 	37.3 	59.4 	54.1 u	55.0 	39.2 	0 
MV_AERO,DEG3,M,Y45-54,PC,2014	27.2 	28.4 	7.8 	29.2 	43.9 	42.7 	17.6 	23.0 	5.3 	30.8 	24.2 	13.9 	19.3 	21.0 	20.7 	16.5 	38.8 	24.9 	30.8 u	43.5 	10.3 	12.5 	17.0 	36.1 	28.5 	45.2 	55.5 	43.1 	50.3 	44.9 	0 
MV_AERO,DEG3,M,Y45-64,PC,2014	26.4 	27.3 	7.0 	22.4 	44.4 	43.4 	17.3 	19.5 	7.3 	31.3 	27.0 	12.6 	16.4 	18.1 	18.5 	14.1 	42.6 	24.5 	39.1 	47.2 	10.4 	12.8 	13.5 	32.8 	20.4 	45.6 	47.4 	48.5 	51.4 	41.1 	0 
MV_AERO,DEG3,M,Y55-64,PC,2014	25.5 	26.1 	6.4 	16.7 	45.0 	44.3 	17.1 	15.4 	9.7 	32.0 	30.1 	11.5 	12.8 	14.8 	15.7 	11.1 	48.4 u	24.2 	46.7 u	51.6 	10.5 	13.1 	9.6 	29.4 	11.0 	45.9 	37.7 	53.8 	52.8 	36.3 	0 
MV_AERO,DEG3,M,Y65-74,PC,2014	26.0 	27.6 	4.0 	13.6 	47.7 	52.4 	18.6 	12.5 u	3.6 	27.1 	29.9 	11.1 	12.8 	35.5 	14.0 	5.2 	46.5 u	14.6 	47.8 u	57.0 	12.3 	11.4 	7.3 	24.4 	7.5 	41.7 	53.5 	34.6 u	55.0 	47.1 	0 
MV_AERO,DEG3,M,Y_GE18,PC,2014	29.4 	30.1 	9.5 	29.1 	45.4 	46.9 	22.4 	25.2 	11.9 	34.9 	28.0 	17.8 	19.6 	23.9 	24.8 	21.3 	46.4 u	26.8 	41.1 	50.4 	15.5 	18.2 	15.6 	34.9 	32.2 	45.7 	54.9 	51.0 	53.1 	41.8 	0 
MV_AERO,DEG3,M,Y_GE65,PC,2014	21.7 	23.0 	2.8 	10.0 	44.3 	46.3 	17.5 	10.4 u	2.7 	22.2 	22.5 	9.7 	9.2 	28.5 	13.9 	6.7 	43.2 u	12.8 	43.8 u	51.1 	9.8 	8.6 	4.9 	17.6 	6.6 	39.7 	50.4 	35.6 	47.6 	39.3 	0 
MV_AERO,DEG3,M,Y_GE75,PC,2014	16.1 	16.8 	0.9 	3.2 	38.0 u	39.2 	16.0 	7.5 	2.0 	17.0 	13.7 	7.8 	4.5 	12.2 u	13.9 	8.6 	34.3 u	9.1 	: u	41.0 	4.9 	5.9 	2.1 	7.7 	4.7 u	35.3 u	45.2 u	36.6 u	35.2 	26.7 	0 
MV_AERO,DEG3,T,TOTAL,PC,2014	26.4 	27.3 	6.6 	28.2 	48.9 	45.0 	23.2 	25.0 	11.1 	30.5 	23.8 	14.7 	15.2 	19.7 	22.6 	19.7 	44.1 	24.8 	39.2 	49.5 	14.6 	15.4 	10.8 	32.0 	26.6 	49.5 	54.5 	58.2 	54.9 	40.4 	0 
MV_AERO,DEG3,T,Y15-24,PC,2014	43.3 	43.9 	20.7 	60.4 	63.5 	62.2 	35.2 	40.4 	39.1 	43.4 	36.9 	36.0 	34.3 	22.9 	46.9 	47.0 	61.1 u	43.9 	48.7 u	59.8 	28.8 	35.1 	30.6 	55.0 	57.0 	64.7 	64.5 	78.2 	69.4 	55.7 	0 
MV_AERO,DEG3,T,Y18-24,PC,2014	38.7 	39.5 	14.8 	57.2 	55.8 	58.6 	28.4 	35.4 	37.5 	42.4 	26.7 	32.9 	30.0 	16.3 	40.0 	38.3 	58.9 u	36.8 	41.5 u	57.9 	27.1 	27.6 	25.9 	51.4 	56.5 	60.5 	64.3 	73.5 	65.9 	53.8 	0 
MV_AERO,DEG3,T,Y18-29,PC,2014	36.4 	37.2 	14.3 	46.8 	49.6 	53.8 	27.3 	36.7 	35.9 	43.2 	26.7 	26.7 	29.4 	19.4 	35.0 	34.3 	55.8 	36.7 	39.4 	54.8 	25.5 	26.7 	21.4 	47.4 	50.2 	59.4 	62.7 	75.4 	64.4 	50.0 	0 
MV_AERO,DEG3,T,Y18-44,PC,2014	29.9 	30.7 	11.5 	38.5 	47.6 	45.9 	25.9 	33.2 	20.7 	36.9 	23.5 	19.7 	21.7 	19.6 	28.4 	26.2 	44.6 	30.4 	39.8 	49.9 	18.0 	21.4 	14.3 	40.8 	38.3 	53.1 	58.1 	67.4 	58.6 	42.8 	0 
MV_AERO,DEG3,T,Y18-64,PC,2014	27.7 	28.5 	7.9 	31.1 	47.7 	44.8 	24.4 	27.7 	14.4 	33.2 	23.8 	15.5 	17.5 	18.7 	24.1 	20.4 	44.2 	27.0 	37.4 	49.9 	15.4 	16.6 	11.8 	35.2 	29.2 	51.0 	55.1 	60.6 	56.9 	41.5 	0 
MV_AERO,DEG3,T,Y25-34,PC,2014	30.2 	30.9 	13.3 	34.6 	39.8 	43.3 	26.4 	39.3 	25.6 	39.9 	24.1 	17.0 	23.7 	20.9 	25.1 	27.3 	44.1 	33.6 	38.6 	47.9 	18.0 	22.4 	11.9 	44.3 	37.3 	55.4 	58.7 	69.5 	57.0 	42.9 	0 
MV_AERO,DEG3,T,Y25-64,PC,2014	26.2 	27.1 	7.1 	27.6 	46.4 	43.1 	23.8 	26.7 	12.4 	32.3 	23.4 	13.0 	16.0 	19.1 	21.7 	17.5 	41.7 	25.4 	36.7 	48.7 	13.6 	15.2 	9.7 	33.4 	24.8 	49.9 	53.8 	58.4 	55.3 	40.2 	0 
MV_AERO,DEG3,T,Y35-44,PC,2014	25.2 	25.9 	8.3 	32.8 	48.2 	40.6 	24.0 	27.9 	12.7 	32.4 	21.2 	14.4 	16.7 	20.3 	24.5 	16.9 	35.8 	23.7 	39.6 u	46.3 	12.5 	17.5 	10.2 	32.9 	28.1 	48.1 	54.0 	60.9 	54.8 	37.8 	0 
MV_AERO,DEG3,T,Y45-54,PC,2014	25.7 	26.8 	5.1 	26.5 	47.6 	42.8 	22.7 	23.8 	9.2 	28.9 	21.9 	12.1 	15.0 	19.6 	19.2 	16.7 	41.4 	23.3 	28.1 	46.3 	11.3 	10.9 	11.1 	30.9 	21.7 	51.0 	54.4 	54.4 	55.2 	43.0 	0 
MV_AERO,DEG3,T,Y45-64,PC,2014	25.0 	26.0 	4.4 	21.4 	47.7 	43.9 	22.5 	20.6 	8.4 	28.5 	24.1 	10.7 	12.8 	17.4 	18.7 	14.1 	43.6 	22.6 	34.6 	49.9 	11.9 	11.4 	8.3 	28.7 	17.1 	49.1 	49.6 	52.0 	54.9 	40.2 	0 
MV_AERO,DEG3,T,Y55-64,PC,2014	24.3 	25.1 	4.0 	16.8 	47.8 	45.4 	22.3 	16.7 	7.4 	28.0 	26.6 	9.4 	10.1 	15.1 	18.1 	10.9 	46.8 u	22.0 	40.9 	54.1 	12.3 	12.0 	5.5 	26.4 	12.0 	47.3 	43.9 	49.3 	54.5 	36.8 	0 
MV_AERO,DEG3,T,Y65-74,PC,2014	22.7 	24.2 	2.0 	13.7 	54.2 	49.6 	18.8 	10.7 u	2.5 	25.2 	25.3 	9.5 	7.8 	25.4 	11.6 	8.3 	45.8 u	13.0 	48.1 	51.5 	9.4 	10.3 	3.6 	21.3 	10.0 	42.8 	55.5 	44.4 	53.8 	42.1 	0 
MV_AERO,DEG3,T,Y_GE18,PC,2014	25.3 	26.2 	5.8 	26.7 	47.3 	44.0 	21.9 	24.0 	10.1 	29.9 	22.2 	13.5 	14.3 	18.7 	20.9 	17.3 	43.2 	23.2 	37.8 	48.9 	13.8 	14.0 	9.4 	30.9 	25.6 	48.4 	53.9 	56.0 	53.8 	39.9 	0 
MV_AERO,DEG3,T,Y_GE65,PC,2014	17.2 	18.5 	1.5 	9.5 	45.9 u	41.1 	14.4 	8.3 u	1.7 	18.8 	16.9 	6.3 	5.5 	18.8 	9.9 	6.2 	37.8 u	8.9 	38.9 	44.7 	6.8 	7.5 	2.3 	14.5 	8.1 	39.4 u	48.5 u	38.9 	44.0 	35.4 	0 
MV_AERO,DEG3,T,Y_GE75,PC,2014	11.0 	12.0 	0.7 	2.5 	32.6 u	31.2 	9.2 	5.1 u	1.2 	12.3 	8.3 	3.2 	2.8 	6.1 	7.9 	4.0 	20.3 u	3.3 	25.7 u	35.4 	3.6 	5.0 	0.9 	6.8 	5.4 	32.8 u	36.4 u	33.2 	29.8 	26.3 	0 
